country,from,to,city
dk,1000,1499,"København K"
dk,1500,1799,"København V"
dk,1800,1999,"Frederiksberg C"
dk,2000,,Frederiksberg
dk,2100,,"København Ø"
dk,2200,,"København N"
dk,2300,,"København S"
dk,2400,,"København NV"
dk,2450,,"København SV"
dk,2500,,Valby
dk,2600,,Glostrup
dk,2605,,Brøndby
dk,2610,,Rødovre
dk,2620,,Albertslund
dk,2625,,Vallensbæk
dk,2630,,Taastrup
dk,2633,,"Taastrup Nordsjællands Postcenter"
dk,2635,,Ishøj
dk,2640,,Hedehusene
dk,2650,,Hvidovre
dk,2660,,"Brøndby Strand"
dk,2665,,"Vallensbæk Strand"
dk,2670,,Greve
dk,2680,,"Solrød Strand"
dk,2690,,Karlslunde
dk,2700,,Brønshøj
dk,2720,,Vanløse
dk,2730,,Herlev
dk,2740,,Skovlunde
dk,2750,,Ballerup
dk,2760,,Måløv
dk,2765,,Smørum
dk,2770,,Kastrup
dk,2791,,Dragør
dk,2800,,"Kongens Lyngby"
dk,2820,,Gentofte
dk,2830,,Virum
dk,2840,,Holte
dk,2850,,Nærum
dk,2860,,Søborg
dk,2870,,Dyssegård
dk,2880,,Bagsværd
dk,2900,,Hellerup
dk,2920,,Charlottenlund
dk,2930,,Klampenborg
dk,2942,,Skodsborg
dk,2950,,Vedbæk
dk,2960,,"Rungsted Kyst"
dk,2970,,Hørsholm
dk,2980,,Kokkedal
dk,2990,,Nivå
dk,3000,,Helsingør
dk,3050,,Humlebæk
dk,3060,,Espergærde
dk,3070,,Snekkersten
dk,3080,,Tikøb
dk,3100,,Hornbæk
dk,3120,,Dronningmølle
dk,3140,,Ålsgårde
dk,3150,,Hellebæk
dk,3200,,Helsinge
dk,3210,,Vejby
dk,3220,,Tisvildeleje
dk,3230,,Græsted
dk,3250,,Gilleleje
dk,3300,,Frederiksværk
dk,3310,,Ølsted
dk,3320,,Skævinge
dk,3330,,Gørløse
dk,3360,,Liseleje
dk,3370,,Melby
dk,3390,,Hundested
dk,3400,,Hillerød
dk,3450,,Allerød
dk,3460,,Birkerød
dk,3480,,Fredensborg
dk,3490,,Kvistgård
dk,3500,,Værløse
dk,3520,,Farum
dk,3540,,Lynge
dk,3550,,Slangerup
dk,3600,,Frederikssund
dk,3630,,Jægerspris
dk,3650,,Ølstykke
dk,3660,,Stenløse
dk,3670,,"Veksø Sjælland"
dk,3700,,Rønne
dk,3720,,Aakirkeby
dk,3730,,Nexø
dk,3740,,Svaneke
dk,3751,,Østermarie
dk,3760,,Gudhjem
dk,3770,,Allinge
dk,3782,,Klemensker
dk,3790,,Hasle
dk,4000,,Roskilde
dk,4040,,Jyllinge
dk,4050,,Skibby
dk,4060,,"Kirke Såby"
dk,4070,,"Kirke Hyllinge"
dk,4100,,Ringsted
dk,4105,,"Ringsted Midtsjællands Postcenter"
dk,4130,,"Viby Sjælland"
dk,4140,,Borup
dk,4160,,Herlufmagle
dk,4171,,Glumsø
dk,4173,,Fjenneslev
dk,4174,,"Jystrup Midtsjælland"
dk,4180,,Sorø
dk,4190,,"Munke Bjergby"
dk,4200,,Slagelse
dk,4220,,Korsør
dk,4230,,Skælskør
dk,4241,,Vemmelev
dk,4242,,Boeslunde
dk,4243,,Rude
dk,4250,,Fuglebjerg
dk,4261,,Dalmose
dk,4262,,Sandved
dk,4270,,Høng
dk,4281,,Gørlev
dk,4291,,"Ruds Vedby"
dk,4293,,Dianalund
dk,4295,,Stenlille
dk,4296,,Nyrup
dk,4300,,Holbæk
dk,4320,,Lejre
dk,4330,,Hvalsø
dk,4340,,Tølløse
dk,4350,,Ugerløse
dk,4360,,"Kirke Eskilstrup"
dk,4370,,"Store Merløse"
dk,4390,,Vipperød
dk,4400,,Kalundborg
dk,4420,,Regstrup
dk,4440,,Mørkøv
dk,4450,,Jyderup
dk,4460,,Snertinge
dk,4470,,Svebølle
